timestamp,frame_id,total_ms,fm_prep_ms,fm_2d_match_ms,fm_corres_ms,fm_ransac_ms,bundle_adjust_ms,others_ms,nerf_ms,nerf_n_frames,nerf_ms_per_frame
1765857854.3200858,1668813029370953744,148.1,11.6,83.8,0.6,19.0,21.8,11.3,n/a,n/a,n/a
1765857854.475637,1668813029401587544,162.1,10.7,90.5,0.6,24.4,21.1,14.8,n/a,n/a,n/a
1765857854.645123,1668813029437943138,165.5,10.9,89.8,0.6,17.8,31.2,15.3,n/a,n/a,n/a
1765857854.8178012,1668813029471440454,153.7,11.4,85.9,0.6,20.4,23.3,12.1,n/a,n/a,n/a
1765857854.9788032,1668813029505689565,158.3,10.8,88.3,0.6,23.3,22.7,12.6,n/a,n/a,n/a
1765857855.1442618,1668813029541207930,157.7,10.7,90.0,0.7,19.3,23.7,13.4,n/a,n/a,n/a
1765857855.3091319,1668813029570568196,161.1,10.9,90.6,0.7,19.1,25.5,14.4,n/a,n/a,n/a
1765857855.4775293,1668813029599355152,160.0,10.7,88.6,0.7,23.4,23.4,13.1,n/a,n/a,n/a
1765857855.645231,1668813029641426803,158.4,11.2,89.3,0.6,20.7,23.3,13.3,n/a,n/a,n/a
1765857855.8109818,1668813029674519915,160.5,11.2,90.2,0.7,23.2,21.7,13.5,n/a,n/a,n/a
1765857855.97874,1668813029704413472,158.7,10.6,90.0,0.6,23.5,21.5,12.4,n/a,n/a,n/a
1765857856.1447203,1668813029734815229,159.7,11.2,90.3,0.7,18.3,26.9,12.4,n/a,n/a,n/a
1765857856.3117704,1668813029769109353,156.6,10.7,85.3,0.7,18.8,29.1,11.9,n/a,n/a,n/a
1765857856.4756682,1668813029800824945,159.9,10.7,88.1,0.6,20.0,26.9,13.6,n/a,n/a,n/a
1765857856.6429417,1668813029836487521,163.7,10.9,89.7,0.7,17.7,31.1,13.6,n/a,n/a,n/a
1765857856.8138332,1668813029873851992,153.6,11.2,84.5,0.7,19.4,26.8,11.0,n/a,n/a,n/a
1765857856.9747632,1668813029907153883,163.1,11.1,89.3,0.7,19.6,29.7,12.7,n/a,n/a,n/a
1765857857.145138,1668813029941451748,153.7,10.7,84.3,0.6,20.9,26.2,11.0,n/a,n/a,n/a
1765857857.3061209,1668813029969465799,156.4,11.1,85.7,0.8,18.4,29.2,11.2,n/a,n/a,n/a
1765857857.4699113,1668813030001425001,157.0,10.7,84.2,0.6,18.4,31.0,12.0,n/a,n/a,n/a
1765857857.6344774,1668813030033714340,165.8,11.9,91.3,0.7,17.4,29.7,14.8,n/a,n/a,n/a
1765857857.808072,1668813030070254715,154.5,11.2,84.5,0.5,19.6,27.6,11.0,n/a,n/a,n/a
1765857857.969995,1668813030103610050,148.2,10.8,83.1,0.5,23.1,19.1,11.6,n/a,n/a,n/a
1765857858.1252332,1668813030137093653,155.7,11.4,89.1,0.5,20.6,20.1,14.1,n/a,n/a,n/a
1765857858.288114,1668813030170881832,158.7,11.1,86.6,0.5,20.4,29.6,10.5,n/a,n/a,n/a
1765857858.4538963,1668813030200526324,148.8,10.8,83.3,0.5,19.0,24.2,11.0,n/a,n/a,n/a
1765857858.6101334,1668813030233265719,154.4,10.8,88.2,0.5,20.9,21.9,12.1,n/a,n/a,n/a
1765857858.7716398,1668813030271745810,153.8,10.7,88.2,0.5,17.2,26.0,11.3,n/a,n/a,n/a
1765857858.9327,1668813030303052948,150.8,11.1,82.8,0.6,20.2,25.6,10.5,n/a,n/a,n/a
1765857859.090716,1668813030342018645,157.2,10.7,86.5,0.6,22.4,25.5,11.6,n/a,n/a,n/a
1765857859.2551563,1668813030368823087,150.9,10.7,83.4,0.6,22.4,21.6,12.3,n/a,n/a,n/a
1765857859.4133668,1668813030405241814,151.1,11.2,83.5,0.6,22.2,21.9,11.7,n/a,n/a,n/a
1765857859.5717342,1668813030439681545,160.4,10.7,88.6,0.6,19.0,28.6,13.0,n/a,n/a,n/a
1765857859.7393165,1668813030478480951,154.0,11.0,84.4,0.6,21.3,25.3,11.4,n/a,n/a,n/a
1765857859.9006145,1668813030510755807,151.0,10.7,84.1,0.6,22.3,21.4,12.0,n/a,n/a,n/a
1765857860.0593438,1668813030546041069,160.2,10.6,89.4,0.6,17.8,28.9,12.8,n/a,n/a,n/a
1765857860.226693,1668813030573567881,153.2,10.8,84.3,0.5,18.6,28.1,10.9,n/a,n/a,n/a
1765857860.387082,1668813030608209583,155.0,11.0,84.3,0.6,18.4,29.2,11.5,n/a,n/a,n/a
1765857860.5492659,1668813030646488955,156.6,10.7,84.9,0.6,19.2,29.2,11.9,n/a,n/a,n/a
1765857860.7130792,1668813030678217347,156.0,11.1,84.0,0.6,18.7,30.3,11.4,n/a,n/a,n/a
1765857861.0398993,1668813030740943010,153.5,9.9,83.4,0.5,16.1,31.0,12.5,n/a,n/a,n/a
1765857861.2005045,1668813030780872835,157.2,10.6,89.6,0.6,22.1,20.3,14.0,n/a,n/a,n/a
1765857861.3650734,1668813030810192298,169.0,10.5,92.3,0.6,19.5,30.6,15.5,n/a,n/a,n/a
1765857861.5413852,1668813030842288669,158.4,10.5,89.6,0.6,19.6,23.6,14.5,n/a,n/a,n/a
1765857861.7069385,1668813030874450768,159.8,10.9,86.3,0.6,21.9,26.1,14.0,n/a,n/a,n/a
1765857861.8740413,1668813030912928393,160.0,10.9,87.6,0.6,19.6,26.1,15.1,n/a,n/a,n/a
1765857862.0412319,1668813030945845609,157.9,10.9,87.9,0.6,17.6,26.7,14.2,n/a,n/a,n/a
1765857862.2062469,1668813030975214732,163.3,10.5,88.0,0.6,20.3,30.1,13.8,n/a,n/a,n/a
1765857862.3770862,1668813031010963994,157.8,10.7,88.0,0.6,18.6,25.1,14.8,n/a,n/a,n/a
1765857862.7105095,1668813031079209112,148.0,9.6,82.1,0.5,17.3,26.0,12.5,n/a,n/a,n/a
1765857862.8656657,1668813031103320518,159.4,10.4,89.7,0.7,18.5,25.5,14.5,n/a,n/a,n/a
1765857863.032121,1668813031137506614,155.3,10.5,84.4,0.6,19.4,27.0,13.3,n/a,n/a,n/a
1765857863.3629313,1668813031206709461,152.1,9.3,82.2,0.6,17.1,30.4,12.5,n/a,n/a,n/a
1765857863.698807,1668813031267875703,159.4,12.4,82.8,0.6,17.8,30.8,15.0,n/a,n/a,n/a
1765857851.8972733,1668813028739745691,82.3,5.6,46.5,0.5,2.0,9.4,18.3,11041.3,5,2208.3
1765857863.8655715,1668813031312962221,163.5,11.0,87.9,0.7,17.7,25.4,20.8,n/a,n/a,n/a
1765857864.180673,1668813031373458489,124.2,10.3,77.4,0.7,3.2,18.5,14.1,n/a,n/a,n/a
1765857864.312925,1668813031406061113,140.9,11.5,85.8,1.1,4.9,16.6,20.9,n/a,n/a,n/a
1765857864.6114967,1668813031474096570,154.1,10.8,83.6,0.7,16.3,20.8,21.9,n/a,n/a,n/a
1765857864.7727551,1668813031507157794,165.3,11.5,92.0,0.7,16.6,27.8,16.7,n/a,n/a,n/a
1765857865.1165328,1668813031573918359,147.7,11.0,81.3,0.6,17.5,20.3,17.1,n/a,n/a,n/a
1765857865.446505,1668813031640430520,182.7,13.1,102.3,0.6,23.9,26.1,16.7,n/a,n/a,n/a
